KELAS,HARI,MATA KULIAH,WAKTU,RUANG,DOSEN
3KA15,Sabtu,Graf & Analisis Algoritma,1/2/3,E311,BUDI SETIAWAN2/WINARTI DWIASTUTI
3KA16,Senin,Sistem Keamanan Tek. Informasi *,1/2/3,E327,ASTIE DARMAYANTIE
3KA16,Senin,Metode Penelitian,4/5,E444,ANA DWI PERTIWI
3KA16,Senin,Pemrograman Berbasis Web **,7/8,E313,BERTALYA
3KA16,Kamis,Graf & Analisis Algoritma,1/2/3,D633,AHMAD APANDI
3KA16,Kamis,Interaksi Manusia & Komputer*/**,4/5/6,D633,MEILANI B SIREGAR
3KA16,Kamis,Jejaring Sosial&Konten Kreatif,9/10,D662,SIWI PRIHATININGSIH
3KA16,Sabtu,Konsep Data Mining,2/3,E447,KOKO BACHRUDIN
3KA16,Sabtu,Bahasa Indonesia 2,4/5,E447,SANGSANG SANGABAKTI
3KA16,Sabtu,Statistika **,7/8/9,E447,MOH. EGA ELMAN MISKA
3KA17,Senin,Bahasa Indonesia 2,1/2,E442,MELANIAWATI
3KA17,Senin,Pemrograman Berbasis Web **,3/4,E442,DEWI ANGGRAINI PUSPA HAPSARI
3KA17,Senin,Metode Penelitian,5/6,E442,PUJI RAHAYU SETYANINGSIH
3KA17,Rabu,Interaksi Manusia & Komputer*/**,1/2/3,E212,FEBRIANI
3KA17,Rabu,Sistem Keamanan Tek. Informasi *,4/5/6,E212,RODIAH
3KA17,Rabu,Graf & Analisis Algoritma,8/9/10,E446,RICKY AGUS TJIPTANATA
3KA17,Sabtu,Jejaring Sosial&Konten Kreatif,2/3,G229,NOVIA FATIMAH
3KA17,Sabtu,Statistika **,5/6/7,G229,ANDY WIDYANTHO
3KA17,Sabtu,Konsep Data Mining,8/9,G229,SILVIA HARLENA
3KA18,Selasa,Interaksi Manusia & Komputer*/**,4/5/6,E423,DARMASTUTI
3KA18,Selasa,Jejaring Sosial&Konten Kreatif,7/8,E245,SIWI PRIHATININGSIH
3KA18,Selasa,Bahasa Indonesia 2,9/10,E245,SANGSANG SANGABAKTI
3KA18,Rabu,Konsep Data Mining,1/2,E211,TUBAGUS MAULANA KUSUMA
3KA18,Rabu,Sistem Keamanan Tek. Informasi *,4/5/6,E243,FITRIANINGSIH
3KA18,Rabu,Statistika **,8/9/10,E243,EDI MINAJI PRIBADI
3KA18,Kamis,Pemrograman Berbasis Web **,1/2,E315,REVIDA IRIANA NAPITUPULU
3KA18,Kamis,Graf & Analisis Algoritma,3/4/5,E315,AVINANTA TARIGAN
3KA18,Kamis,Metode Penelitian,7/8,E322,AINI SURI TALITA
3KA19,Senin,Metode Penelitian,1/2,E315,TEDDY OSWARI
3KA19,Senin,Sistem Keamanan Tek. Informasi *,4/5/6,E326,ASTIE DARMAYANTIE
3KA19,Senin,Graf & Analisis Algoritma,8/9/10,E424,TEGUH YUNIARKO
3KA19,Selasa,Interaksi Manusia & Komputer*/**,1/2/3,E423,DARMASTUTI
3KA19,Selasa,Jejaring Sosial&Konten Kreatif,4/5,E433,I MADE WIRYANA
3KA19,Selasa,Bahasa Indonesia 2,7/8,E444,RAFIQA MAULIDIA
3KA19,Rabu,Statistika **,2/3/4,E234,EDI MINAJI PRIBADI
3KA19,Rabu,Pemrograman Berbasis Web **,7/8,E222,RHEZA ANDIKA
3KA19,Rabu,Konsep Data Mining,9/10,E222,TUBAGUS MAULANA KUSUMA
3KA20,Selasa,Jejaring Sosial&Konten Kreatif,1/2,E136,I MADE WIRYANA
3KA20,Selasa,Metode Penelitian,3/4,E136,IKHWAN H S
3KA20,Selasa,Bahasa Indonesia 2,5/6,E136,TOTO SUGIHARTO/TRI BUDIARTA
3KA20,Selasa,Interaksi Manusia & Komputer*/**,8/9/10,E227,DARMASTUTI
3KA20,Rabu,Sistem Keamanan Tek. Informasi *,1/2/3,E225,ASTIE DARMAYANTIE
3KA20,Rabu,Statistika **,4/5/6,E225,IMAN MURTONO SOENHADJI
3KA20,Kamis,Pemrograman Berbasis Web **,1/2,E326,DINA SUCI DARWATI
3KA20,Kamis,Graf & Analisis Algoritma,3/4/5,E326,IVAN MAURITS
3KA20,Kamis,Konsep Data Mining,7/8,E346,MUFID NILMADA
